,morning_1,morning_2,morning_3,morning_4,morning_5,amsnack_1,amsnack_2,lunch_1,lunch_2,lunch_3,lunch_4,lunch_5,pmsnack_1,pmsnack_2,dinner_1,dinner_2,dinner_3,dinner_4,dinner_5
10,Steamed sweet rice (add),Seaweed mandu (dumpling) soup,Braised burdock slices and konjac,Pan-fried vegetables with crushed tofu,Perilla leaf kimchi,S raisin potato bowl,S peach walnut smoothie,Steamed corn rice (30),Oyster mushroom soup,Braised sweet potato in sweet soy sauce,Stir-fried zucchini,Radish kimchi cubes,S rice-based beverage,S aglio e olio spaghetti,Japanese style beef over rice (kyudon),Zucchini salted shrimp soup,Stir-fried jukkumi and vegetables in soy sauce,empty,Ponytail radish kimchi
11,Pork and cabbage over rice,Mini udon with fried tofu,Steamed aubergine in sauce,Parboiled broccoli + perilla seed sauce,Sweet radish kimchi,S sweet potato shake,S sweet pumpkin rice punch,Steamed chestnut bean rice (30),Zucchini salted shrimp stew,Seasoned salad with spicy bean sprout,Stir-fried chicken with cheese,Water kimchi,S soft tofu salad (oriental dressing),S beef potato porridge,Steamed sweet rice,Tofu shabu-shabu,Steamed octopus with rice cake,Daikon and pear salad,Seasoned salad with pickled daikon
12,Stir-fried rice with aubergine and vegetables,Veggie soup,Soft tofu salad (oriental dressing),Seasoned salad with chwinamul in soy paste,Radish watery kimchi,S egg veggie porridge,S cucumber carrot stick,Rice with beans,Tofu zucchini soup,Lettuce salad (oriental dressing),Seasoned oyster mushroom,Ponytail radish kimchi,S rice-based beverage,S homestyle blueberry milk,Steamed sorghum rice (30),Clam soy paste stew,Deep-fried cutlassfish in curry,Stir-fried potato and paprika,Young radish kimchi
13,Steamed sweet rice (add),Assorted mushroom stew,Seasoned salad with sweet potato stem in soy paste,Stir-fried shrimp in ketchup,Young radish water kimchi,S beef corn porridge,S homestyle banana milk,Steamed red bean rice (30),Young pumpkin soup(clear),Braised burdock slices and konjac,Vegetable croquette,Pickled beet,S soft tofu salad (oriental dressing),S misugaru (mixed grain powder),Stir-fried rice with broccoli and vegetables,Mandu (dumpling) soup,Seasoned salad with shepherd's purse,Stir-fried octopus and vegetables in spicy sauce,Radish kimchi cubes
14,Steamed sorghum rice (30),Spicy zucchini soup,Dried radish,empty,Water kimchi,S rice-based beverage,S macaroni and vegetable salad,Rice (extra),Mini-ball rice cake seaweed soup,Seasoned zucchini,empty,Cucumber kimchi,S milk (200ml),S beef burdock porridge,Beef and aubergine over rice,Red bean porridge,Pan-fried seafood and kimchi,empty,Ponytail radish kimchi
15,Steamed sweet rice (add),Brown kelp and potato soup,Steamed fish and zucchini,Barbequed beef and mini-ball rice cake,Kohlrabi watery kimchi,S sweet potato shake,S rice punch,Steamed red bean rice (30),Tofu shabu-shabu,Braised anchovy and sweet napa cabbage,Stir-fried jukkumi and vegetables in soy sauce,Pickled cucumber,S tofu vagetable porridge,S raisin potato bowl,Stir-fried rice with broccoli and vegetables,Oyster mushroom soup,Braised chicken(breast) in teriyaki sauce,Seasoned salad with spicy bean sprout,Sweet radish kimchi
16,Steamed chestnut bean rice,Assorted mushroom stew,Vegetable croquette,Seasoned winter mushroom,White kimchi,S beef burdock porridge,S korean melon salad,Japanese style beef over rice (kyudon),Mandu (dumpling) soup,Seasoned salad with shepherd's purse,Braised burdock slices and konjac,Water kimchi,S rice-based beverage,S homestyle banana milk,Steamed sorghum rice (30),Spring onion egg soup,Seasoned oyster mushroom,Stir-fried dried shrimp and zucchini,Ponytail radish kimchi
17,Steamed red bean rice (30),Mandu (dumpling) unpressed tofu stew,Seasoned winter mushroom and chive,Lotus root and black sesame salad,Young radish water kimchi,S orange juice (sugar-free),S raisin potato bowl,Steamed sweet rice (add),Stir-fried udon (white wheat noodles) in curry,Seasoned salad with paprika in yuzu marinade,Seasoned bellflower root,Pickled beet,S cheese stick,S milk (100ml),Steamed sweet rice and red bean,Oyster mushroom soup,Seasoned salad with sweet potato stem in soy paste,empty,Radish kimchi cubes
18,Rice (extra),Tofu shabu-shabu,Seasoned oyster mushroom,Seasoned winter mushroom,Ponytail radish kimchi,S tofu vagetable porridge,S sweet potato shake,Steamed mixed-grain rice (40),Unpressed tofu octopus soup,Braised burdock slices and konjac,empty,Kohlrabi watery kimchi,S soft tofu salad (oriental dressing),S rice-based beverage,Soy-based shrimp rice bowl,Mandu (dumpling) soup,Seasoned salad with shepherd's purse,empty,Cucumber kimchi
19,Steamed sweet rice (add),Veggie soup,Seasoned broccoli,Stir-fried garlic stem,Pickled cucumber,S rice punch,S aglio e olio spaghetti,Steamed sorghum rice (30),Red bean porridge,Barbequed pork belly and cuttlefish,Boneless chicken steak with sauce,Winter cabbage kimchi,S raisin potato bowl,S milk (100ml),Japanese style beef over rice (kyudon),Short-necked clam(shell-less) soup,Stir-fried dried shrimp and zucchini,Pan-fried ham tuna and vegetables,Pickled beet
20,Steamed sweet rice,Oyster mushroom soup,Steamed aubergine in sauce,Seasoned salad with spicy bean sprout,Water kimchi,S rice-based beverage,S homestyle banana milk,Bibimbap with summer radish,Mandu (dumpling) unpressed tofu stew,Seasoned oyster mushroom,Dried radish,Ponytail radish kimchi,S soft tofu salad (oriental dressing),S tofu vagetable porridge,Steamed chestnut bean rice (30),Tofu shabu-shabu,Lettuce salad (oriental dressing),Stir-fried jukkumi and vegetables in soy sauce,Young radish kimchi
21,Stir-fried rice with broccoli and vegetables,Mandu (dumpling) soup,Braised meat ball and paprika,Tomato cheese salad,Young radish water kimchi,S misugaru (mixed grain powder),S cheese soft crab porridge,Steamed chestnut bean rice,Brown kelp and potato soup,Seasoned winter mushroom,Boneless chicken steak with sauce,Cucumber kimchi,S milk (100ml),S raisin potato bowl,Steamed red bean rice (30),Assorted mushroom stew,Braised burdock slices and konjac,Stir-fried tofu and glass noodles,Pickled beet
22,Steamed brown rice,Clam soy paste soup,Stir-fried broccoli and vegetables,Fresh kimchi winter cabbage,Water kimchi,S milk (200ml),S korean melon (50g),Stir-fried rice beef in oyster sauce,Dried bonito soy paste soup,Steamed pork rib and potato,Seasoned salad with winter cabbage,Sweet radish kimchi,S sweet pumpkin rice punch,S pollack porridge,Steamed rice (30),Young pumpkin soup,Parboiled broccoli (perilla seed sauce),empty,Radish kimchi cubes
23,Steamed corn rice (30),Oyster mushroom soup,Stir-fried jukkumi and vegetables in soy sauce,Steamed aubergine in sauce,Young radish kimchi,S aglio e olio spaghetti,S rice-based beverage,Steamed sweet rice,Mandu (dumpling) chicken stew,Pan-fried dried shrimp and curled mallow,Seasoned salad with spicy bean sprout,Ponytail radish kimchi,S homestyle banana milk,S soft tofu salad (oriental dressing),Steamed sweet rice and red bean,Mandu (dumpling) unpressed tofu stew,Seasoned salad with aubergine in marinade sauce,Braised burdock slices and konjac,Young radish water kimchi
24,Steamed red bean rice (30),Young pumpkin soup(clear),Braised burdock slices and fried fish paste,Vegetable croquette,Water kimchi,S red bean porridge,S homestyle strawberry milk,Steamed sweet rice (add),Mandu (dumpling) soup,Stir-fried zucchini and dried shrimp,Seasoned salad with korean melon and overripe cucumber,Pickled beet,S raisin potato bowl,S omija ice cream,Steamed black rice,Carrot soup,Stir-fried winter mushroom,Seasoned salad with sweet potato stem in soy paste,Radish kimchi cubes
25,Stir-fried rice with aubergine and vegetables,Potato soup,Seasoned oyster mushroom,Stir-fried summer radish,Ponytail radish kimchi,S rice-based beverage,S sweet pumpkin cream risotto,Steamed chestnut red bean sweet rice,Pork back-bone stew,Seasoned salad with winter celery in vinegar marinade,Stir-fried webfoot octopus and vegetables,Green onion kimchi,S milk (200ml),S soft tofu salad (oriental dressing),Steamed sorghum rice (30),Chicken stew(clear),Braised sweet potato and quail eggs,Pan-fried seafood and kimchi,Cucumber kimchi
26,Steamed red bean rice (30),Young pumpkin soup(clear),Roasted aubergine,Cream tteokbokki (stir-fried rice cake),Radish kimchi cubes,S sweet pumpkin rice punch,S milk (100ml),Steamed sweet rice (add),Assorted mushroom stew,Stir-fried dried shrimp and zucchini,Braised burdock slices and konjac,Water kimchi,S raisin potato bowl,empty,Beef rice ball with seaweed flakes,Mandu (dumpling) soup,Braised meat ball and paprika,Seasoned salad with korean melon and overripe cucumber,Pickled beet
27,Pork and cabbage over rice,Zucchini tofu salted shrimp soup,Seasoned oyster mushroom,Seasoned salad with sweet potato stem in soy paste,Ponytail radish kimchi,S potato salad,S homestyle banana milk,Steamed red bean sweet rice (30),Oyster mushroom soup(clear),Steamed aubergine in sauce,Pan-fried winter mushroom with eggs,Sweet napa cabbage watery kimchi,S aglio e olio spaghetti,S rice-based beverage,Steamed sweet rice,Konjac fried fish paste soup,Braised pork roll with rice cake in soy sauce,Stir-fried chicken and cabbage,Young radish water kimchi
28,Steamed red bean rice (40),Little neck clam soup,Braised alaska pollock,Seasoned salad with grilled aubergine,Pickled beet,S sweet potato mattang (sugar-glazed deep-fried sweet potato wedge),S tomato juice,Steamed pearl barley rice,Red bean porridge,Stir-fried spicy jukkumi,Steamed fish and zucchini,Perilla leaf kimchi,S milk (100ml),S soft tofu salad (oriental dressing),Paprika rice ball with fried tofu,Mandu (dumpling) soup,Seasoned salad with deodeok and apple,empty,Radish kimchi cubes
29,Steamed sweet rice (add),Sujebi with zucchini and potato,Steamed aubergine with marinade sauce,Stir-fried zucchini,Young radish water kimchi,S cream sauce spaghetti,S omija ice cream,Steamed corn rice (30),Cold korean melon seaweed soup,Pan-fried vegetables with fried fish paste,Steamed aubergine in sauce,Water kimchi,S potato salad,S peach walnut smoothie,Rice (extra),Mini udon with fried tofu,Seasoned young pumpkin,Seasoned salad with sweet potato stem in soy paste,Young radish kimchi
30,Steamed pearl barley rice,Mandu (dumpling) soup,Stir-fried tofu and vegetables in oyster sauce,Seasoned salad with lettuce in yuzu marinade,Radish kimchi cubes,S rice-based beverage,S soft tofu salad (oriental dressing),Curried rice with tofu,Cold bean sprout soup(kelp stock),Seasoned salad with oyster mushroom,Seasoned salad with deodeok and apple,Ponytail radish kimchi,S homestyle banana milk,empty,Steamed pearl barley rice (30),Seaweed mandu (dumpling) soup,Lotus root and black sesame salad,Seasoned salad with aubergine,Pickled beet
31,Steamed mixed-grain rice (40),Short rib beef soup(plate),Steamed seafood and sweet pumpkin,Stir-fried webfoot octopus and vegetables,Water kimchi,S mushroom veggie porridge,S milk (200ml),Stir-fried rice with aubergine and vegetables,Curled mallow soup(clear),Seasoned salad with chwinamul(dried),Stir-fried sweet potato stem,Green onion kimchi,S apple (35g),S sweet pumpkin rice punch,Steamed sweet rice (add),Whole chicken soup,Pan-fried brown kelp and potato,Seasoned thistle,Young radish water kimchi
32,Curried rice with chicken and potato + marinade sauce,Konjac fried fish paste soup,Seasoned salad with spicy bean sprout,Stir-fried zucchini,Radish kimchi cubes,S rice-based beverage,S mushroom soy paste porridge,Steamed corn rice (30),Mandu (dumpling) chicken stew,Stir-fried jukkumi and vegetables in soy sauce,Stir-fried tofu and vegetables in oyster sauce,Pickled beet,S soft tofu salad (oriental dressing),S homestyle banana milk,Steamed sweet rice,Oyster mushroom soup,Seasoned salad with sweet potato stem in soy paste,Dried radish,Ponytail radish kimchi
33,Steamed rice with black beans (40),Spring onion bean sprout soup,Stir-fried potato(shredded),Pork stir-fried with black bean paste,Water kimchi,S sweet pumpkin rice punch,S broccoli porridge,Steamed sweet rice (add),Dried bonito soy paste soup,Cabbage salad (lemon dressing),Fresh kimchi with spring parsley,Young radish water kimchi,S milk with misugaru (mixed grain powder),S carrot stick,Bibimbap with butter and braised beef in soy sauce,Tofu miso soup,Stir-fried chive and eggs,Braised tofu and dried shrimp,Sweet radish kimchi
34,Pork and cabbage over rice,Tofu shabu-shabu,Stir-fried zucchini and onion,Seasoned oyster mushroom,Radish kimchi cubes,S raisin potato bowl,S beef seaweed porridge,Steamed corn rice (30),Mandu (dumpling) chicken stew,Stir-fried jukkumi and vegetables in soy sauce,Stir-fried dried shrimp and zucchini,Pickled beet,S rice-based beverage,S homestyle banana milk,Steamed pearl barley rice,Seaweed mandu (dumpling) soup,Steamed aubergine in sauce,empty,Young radish kimchi
35,Beef and aubergine over rice,Mini-ball rice cake seaweed soup,Stir-fried potato and fried fish paste,Seasoned winter mushroom and chive,Sweet radish kimchi,S hot chocolate,S milk (100ml),Steamed sorghum rice (30),Kimchi soup with fried tofu,Lotus root and black sesame salad,Vegetable croquette,Radish watery kimchi,S soft tofu salad (oriental dressing),empty,Steamed sweet rice and red bean,Assorted mushroom stew,Seasoned salad with bellflower root,Roasted potato with butter,Pickled korean style daikon
36,Steamed chestnut bean rice (30),Tofu shabu-shabu,Seasoned salad with paprika in yuzu marinade,Seasoned salad with shepherd's purse,Young radish water kimchi,S solomon's seal tea,S cream sauce spaghetti,Steamed sweet rice (add),Mushroom stew in soy sauce,Fried mandu (dumpling),Stir-fried zucchini and dried shrimp,Pickled beet,S potato salad,S peach walnut smoothie,Japanese style beef over rice (kyudon),Oyster mushroom soup,Seasoned oyster mushroom,empty,Radish kimchi cubes
37,Pork kimchi bibimbap,Sliced potato soup,Stir-fried chicken tenderloin and apple,Stir-fried jukkumi and vegetables in soy sauce,Young radish kimchi,S sweet red bean porridge,S rice-based beverage,Steamed chestnut bean rice (40),Bean sprout soup,Fresh kimchi winter cabbage,Stir-fried cucumber,Water kimchi,S soft tofu salad (oriental dressing),S milk with misugaru (mixed grain powder),Steamed chestnut bean rice,Potato zucchini soup,Braised nuts,Braised konjac and quail eggs,Ponytail radish kimchi
38,Steamed sweet rice (add),Anchovy soy paste soup,Braised meat ball and paprika,Seasoned winter mushroom,Cucumber kimchi,S misugaru (mixed grain powder),S cheese soft crab porridge,Japanese style beef over rice (kyudon),Pork back-bone stew,Seasoned salad with korean melon and overripe cucumber,Vegetable croquette,Radish kimchi cubes,S sweet potato shake,S raisin potato bowl,Steamed red bean rice (30),Mandu (dumpling) soup,Seasoned salad with sweet potato stem in soy paste,Steamed bean sprout,Young radish water kimchi
39,Steamed chestnut bean rice,Oyster mushroom soup,Stir-fried zucchini and dried shrimp,Braised burdock slices and konjac,Ponytail radish kimchi,S homestyle banana milk,S pan-fried vegetables,Curried rice with chicken and potato + marinade sauce,Mini-ball rice cake seaweed soup,Seasoned winter mushroom and chive,Fried mandu (dumpling),Water kimchi,S soft tofu salad (oriental dressing),S rice-based beverage,Steamed sorghum rice (30),Tofu shabu-shabu,Stir-fried winter mushroom,Seasoned oyster mushroom,Pickled beet
40,Steamed corn rice,Spicy zucchini soup,Steamed eggs (40g),Pan-fried clam and broccoli,Radish watery kimchi,S sweet red bean porridge,S milk with misugaru (mixed grain powder),Steamed potato rice (30),Corn soup,Stir-fried potato and paprika,Braised spicy chicken without bones,Winter cabbage kimchi,S korean melon salad,S green plum tea,Deluxe rice with kimchi,Cockle soy paste stew,Stir-fried chicken and pyogo mushroom,empty,Radish kimchi cubes
41,Steamed sweet rice,Mandu (dumpling) unpressed tofu stew,Seasoned salad with sweet potato stem in soy paste,Stir-fried jukkumi and vegetables in soy sauce,Pickled beet,S sweet potato shake,S soft tofu salad (oriental dressing),Pork and cabbage over rice,Potato egg soup,Seasoned salad with spicy bean sprout,Seasoned oyster mushroom,Water kimchi,S beef seaweed porridge,S orange juice (sugar-free),Steamed corn rice (30),Bean sprout beef stew,Steamed aubergine in sauce,empty,Ponytail radish kimchi
42,Steamed pearl barley rice,Mung bean jelly soup,Seasoned young pumpkin,Braised burdock slices and konjac,Young radish water kimchi,S peach walnut smoothie,S rice-based beverage,Steamed chestnut bean rice (30),Seaweed mandu (dumpling) soup,Braised potato and garlic stem,Pan-fried brown kelp and potato,Green onion kimchi,S raisin potato bowl,empty,Curried rice with chicken and potato + marinade sauce,Broccoli soup,Daikon and pear salad,empty,Radish kimchi cubes
43,Steamed sweet barley rice,Perilla leaf soup,Seasoned salad with oyster mushroom,Stir-fried jukkumi and vegetables in soy sauce,Mustard leave and stem kimchi,S hot chocolate,S korean melon salad,Curried rice with beef,Young pumpkin soup(clear),(low-salt) braised chicken and sweet pumpkin,Fresh kimchi with spring parsley,Pickled beet,S homestyle blueberry banana milk,S deluxe rice ball,Steamed sweet potato rice (40),Potato egg soup,Lettuce salad (kiwi dressing),Stir-fried webfoot octopus and vegetables,Water kimchi
44,Steamed red bean rice (30),Mandu (dumpling) soup,Stir-fried zucchini and dried shrimp,Seasoned winter mushroom,Cucumber kimchi,S rice-based beverage,S soft tofu salad (oriental dressing),Japanese style beef over rice (kyudon),Oyster mushroom soup,Seasoned oyster mushroom,Seasoned salad with shepherd's purse,Radish kimchi cubes,S beef burdock porridge,S homestyle banana milk,Steamed sweet rice (add),Mini-ball rice cake seaweed soup,Vegetable croquette,empty,Ponytail radish kimchi
45,Stir-fried rice with aubergine and vegetables,Spring onion bean sprout soup,Stir-fried webfoot octopus and vegetables,Seasoned salad with chwinamul(dried),Green onion kimchi,S milk with misugaru (mixed grain powder),S raisin potato bowl,Steamed chestnut red bean sweet rice,Dried bonito soy paste soup,Braised potato and garlic stem,Stir-fried sweet potato stem,Young radish water kimchi,S mushroom soy paste porridge,S tomato juice,Steamed millet rice (40),Bokchoy soy paste soup,Pork stir-fried with black bean paste,Stir-fried vegetables and eggs,Water kimchi
46,Pork and cabbage over rice,Mandu (dumpling) chicken stew,Steamed aubergine with marinade sauce,Salted sea lettuce,Perilla leaf kimchi,S potato raisin salad,S rice-based beverage,Steamed chestnut bean rice (30),Tofu shabu-shabu,Stir-fried tofu and vegetables in oyster sauce,Stir-fried dried shrimp and zucchini,Radish kimchi cubes,S homestyle banana milk,empty,Steamed sweet rice,Oyster mushroom soup,Seasoned salad with spicy bean sprout,Pan-fried seafood and spring cabbage,Ponytail radish kimchi
47,Stir-fried rice with chicken and vegetables,Zucchini soup(clear),Steamed aubergine in sauce,Fresh kimchi winter cabbage,Pickled beet,S aglio e olio spaghetti,S sweet potato shake,Steamed corn rice (30),Mushroom beef soup,Stir-fried barbequed beef and mushroom,Stir-fried jukkumi and vegetables in soy sauce,Young radish kimchi,S rice punch,S soft tofu salad (oriental dressing),Steamed pearl barley rice,Bean sprout beef stew,Braised anchovy and sweet napa cabbage,Daikon and pear salad,Young radish water kimchi
48,Steamed red bean rice (30),Oyster mushroom soup,Seasoned salad with sweet potato stem in soy paste,Seasoned winter mushroom,Radish kimchi cubes,S rice-based beverage,S homestyle banana milk,Steamed sweet rice (add),Young pumpkin soup(clear),Stir-fried zucchini and dried shrimp,Dried radish,Ponytail radish kimchi,S macaroni and vegetable salad,empty,Curried rice with chicken and potato + marinade sauce,Mandu (dumpling) soup,Stir-fried pork and kimchi,Seasoned oyster mushroom,Cucumber kimchi
49,Steamed corn rice (30),Sujebi with sweet pumpkin,Seasoned salad with spicy bean sprout,Seasoned winter mushroom and chive,Seasoned salad with pickled daikon,S beef seaweed porridge,S soy milk (100ml),Steamed sweet rice and red bean,Carrot soup,Stir-fried zucchini,Seasoned young pumpkin,Young radish water kimchi,S potato salad,S peach walnut smoothie,Steamed sweet rice,Tofu shabu-shabu,Steamed aubergine in sauce,Braised anchovy and sweet napa cabbage,Pickled beet
50,Japanese style beef over rice (kyudon),Unpressed soup (mild flavor),Vegetable croquette,Stir-fried dried shrimp and zucchini,Ponytail radish kimchi,S sweet pumpkin rice punch,S homestyle banana milk,Steamed sweet rice (add),Mandu (dumpling) soup,Seasoned oyster mushroom,Braised burdock slices and konjac,Pickled korean style daikon,S cream sauce spaghetti,S raisin potato bowl,Steamed sweet potato rice (40),Potato onion soup,Roasted aubergine,empty,Cucumber kimchi
51,Seafood mushroom rice bowl,Oyster mushroom soup,Seasoned salad with aubergine in marinade sauce,Stir-fried zucchini,Young radish kimchi,S homestyle strawberry milk,S rice-based beverage,Steamed sweet rice,Tofu shabu-shabu,Steamed aubergine with marinade sauce,Seasoned salad with sweet potato stem in soy paste,Radish kimchi cubes,S soft tofu salad (oriental dressing),S aglio e olio spaghetti,Steamed chestnut bean rice (30),Red bean porridge,Seasoned salad with spicy bean sprout,Braised pork roll with rice cake in soy sauce,Water kimchi
52,Steamed red bean rice (30),Young pumpkin soup(clear),Braised meat ball and paprika,Seasoned winter mushroom,Ponytail radish kimchi,S beef burdock porridge,S misugaru (mixed grain powder),Steamed chestnut bean rice,Mandu (dumpling) soup,Seasoned salad with chwinamul and perilla seed,Roasted aubergine,Radish watery kimchi,S raisin potato bowl,S homestyle banana milk,Japanese style beef over rice (kyudon),Potato soup,Seasoned salad with shepherd's purse,empty,Young radish water kimchi
53,Steamed sweet rice,Potato dough soup,Seasoned salad with sweet potato stem in soy paste,Stir-fried jukkumi and vegetables in soy sauce,Radish kimchi cubes,S sesame milk soup,S peach walnut smoothie,Pork and cabbage over rice,Curled mallow and river snail soup,Steamed aubergine in sauce,Stir-fried dried shrimp and zucchini,Kohlrabi watery kimchi,S rice-based beverage,S korean melon salad,Steamed mung bean rice (40),Konjac fried fish paste soup,Seasoned oyster mushroom,empty,Pickled beet
54,Steamed sweet rice (add),Red bean porridge,Seasoned winter mushroom and chive,Seasoned salad with bean sprout,Young radish water kimchi,S soft tofu salad (oriental dressing),S shrimp flakes rice ball,Curried rice with chicken and potato + marinade sauce,Shrimp daikon soup,Seasoned salad with cuttlefish in vinegar marinade,Vegetable croquette,Water kimchi,S homestyle banana milk,S misugaru (mixed grain powder),Steamed red bean rice (30),Zucchini tofu salted shrimp soup,(chilli powder-free) braised cutlassfish,empty,Radish watery kimchi
55,Steamed sweet millet rice (30),Kimchi tofu soup,Seasoned salad with cucumber,Macaroni and vegetable salad (mayonnaise),Sweet radish kimchi,S omija tea,S raisin potato bowl,Stir-fried rice beef in oyster sauce,Crap soup,Dried radish,Cabbage salad (lemon dressing),Ponytail radish kimchi,S sweet pumpkin cream risotto,S milk (200ml),Steamed brown rice,Mandu (dumpling) soup,Fresh kimchi with spring parsley,Stir-fried jukkumi and vegetables in soy sauce,Radish kimchi cubes
56,Steamed red bean rice (30),Young pumpkin soup(clear),Stir-fried barbequed beef and mushroom,Braised fried fish paste bowl,Water kimchi,S soft tofu salad (oriental dressing),S rice-based beverage,Steamed chestnut bean rice,Old pumpkin soup,Seasoned shepherd's purse,Steamed fish and zucchini,Young radish kimchi,S sweet red bean porridge,S milk (150ml),Steamed pearl barley rice,Tofu shabu-shabu,Sweet potato mash with nuts,empty,White kimchi
57,Pork and cabbage over rice,Zucchini salted shrimp soup,Steamed aubergine in sauce,Stir-fried sweet potato stem,Ponytail radish kimchi,S sesame milk soup,S sweet potato shake,Steamed chestnut bean rice (40),Mung bean jelly soup,Stir-fried cucumber,Stir-fried octopus and vegetables in spicy sauce,Radish kimchi cubes,S solomon's seal tea,S raisin potato bowl,Steamed sweet rice,Maesaengyi mussel soup,Seasoned salad with sweet potato stem in soy paste,Stir-fried dried shrimp and zucchini,Seasoned salad with pickled daikon
