,morning_1,morning_2,morning_3,morning_4,morning_5,amsnack_1,amsnack_2,lunch_1,lunch_2,lunch_3,lunch_4,lunch_5,pmsnack_1,pmsnack_2,dinner_1,dinner_2,dinner_3,dinner_4,dinner_5
25,Steamed red bean rice,Seaweed soup with beef,Braised tofu in teriyaki sauce,Sedum and black sesame salad,Sweet napa cabbage watery kimchi,S sweet red bean porridge,empty,Paprika rice ball with fried tofu,Winter mushroom egg soup,Steamed mandu (dumpling),Yoghurt fruit mix,Pickled beet,S milk bread roll + strawberry jam,S milk (100ml),Steamed sweet rice,Chicken vegetable soup,Stir-fried jukkumi and,Seasoned chard,Water kimchi
26,Rice (extra),Young pumpkin soup,Soy sauce-braised beef shank,Cucumber and tomato salad (balsamic vinegar dressing),Water kimchi,S steamed sweet pumpkin,S homestyle blueberry milk,Steamed sorghum rice,Unpressedtofu stew,Stir-fried chicken in soy paste without bones,Braised mini-potato,Sweet napa cabbage watery kimchi,S scrambled eggs with vegetables,S orange juice (sugar-free),Steamed sweet rice and red bean,Bean sprout soup,Dumpling in sweet and sour sauce,Salted dried sea lettuce,Napa cabbage kimchi
27,Paprika rice ball with fried tofu,Winter mushroom miso soup,Braised black beans,Sweet pumpkin salad,Pickled beet,S pineapple (50g),S yoghurt (100ml),Steamed chestnut bean rice,Cod(fielet)  soup,Braised chicken wing in sauce,Seasoned salad with egg plant,Cucumber kimchi,S steamed sweet potato,S milk (100ml),Steamed pearl barley rice,Bean sprout beef stew,Roasted pork(shoulder butt),Seasoned salad with deodeok and apple,Young radish water kimchi
28,Steamed sorghum rice,Fried tofu miso soup,Scrambled eggs with soft crab,Seasoned salad with garlic stem,Sweet napa cabbage watery kimchi,S pineapple (50g),S yoghurt (100ml),Steamed corn rice,Mushroom beef stew,Chuncheon-style stir-fried chicken,Seasoned winter cabbage,Ponytail radish kimchi,S steamed sweet pumpkin,S homestyle blueberry milk,Deluxe rice with pyogo mushroom and chwinamul,Kimchi soup(clear),Grilled atka mackerel,Seasoned salad with spring parsley,Radish kimchi cubes
29,Rice (extra),Seaweed soup with beef,Braised sweet potato and quail eggs,Seasoned salad with soft crab and vegetables in vinegar marinade,Water kimchi,S yoghurt (100ml),S apple (35g),Steamed rice with black beans,Beef and enoki mushroom soup,Grilled smoked duck,Seasoned salad with bellflower root,Sweet napa cabbage watery kimchi,S steamed sweet potato,S milk (150ml),Curried rice with chicken and potato + marinade sauce,Soy paste soup,Tofu dumpling,Seasoned oyster mushroom,Radish kimchi cubes
30,Steamed corn rice (40),Oyster mushroom soup,Seasoned salad with bean sprout,Sedum and black sesame salad,Sweet napa cabbage watery kimchi,S carrot stick,S sweet potato shake,Pork and cabbage over rice,Veggie soup,Braised konjac and quail eggs in soy sauce,Seasoned salad with cucumber and apple,Radish kimchi cubes,S fried mandu (dumpling),S orange juice,Steamed rice,Tofu bean sprout soup,Braised pork shanks,Seasoned salad with sweet potato stem in soy paste,Pickled beet
31,Steamed red bean rice (40),Bean sprout beef stew,Fried eggs,Braised burdock slices and konjac,Young radish kimchi,empty,S homestyle blueberry milk,Steamed pearl barley rice,Tofu shabu-shabu,Braised chicken in curry(meat only),Stir-fried zucchini,Perilla leaf kimchi,S steamed sweet potato,S orange juice (sugar-free),Japanese style beef over rice (kyudon),Clear cabbage soup,Deep-fried spring rolls,Braised anchovy,Water kimchi
32,Steamed sweet rice (add),Red bean porridge,empty,Seasoned salad with sweet potato stem in soy paste,Radish kimchi cubes,S strawberry (100g),S almond,Beef and aubergine over rice,Brown kelp and salted shrimp soup,Vegetable croquette,Stir-fried dried shrimp and zucchini,Pickled beet,S sweet potato mattang (sugar-glazed deep-fried sweet potato wedge),S milk (200ml),Steamed sorghum rice (40),Assorted mushroom stew,Spicy barbequed pork belly and cuttlefish,Seasoned salad with korean melon and overripe cucumber,Ponytail radish kimchi
33,Steamed chestnut bean rice,Sakhalin surf-clam and seaweed soup,Soy sauce-braised beef and mushroom,Seasoned salad with bean sprout,Young radish water kimchi,empty,S homestyle blueberry milk,Steamed sweet rice,Unpressedtofu stew,Braised pork rib with soy sauce,Stir-fried zucchini,Water kimchi,S tomato (200g),S milk (100ml),Pork and cabbage over rice,Carrot soup,Braised sweet potato in sweet soy sauce,Macaroni cucumber salad,Water kimchi
34,Steamed rice with black beans,Oyster mushroom soup,Stir-fried jukkumi and vegetables in soy sauce,Seasoned salad with bellflower root,Sweet napa cabbage watery kimchi,S homestyle banana milk,S steamed sweet pumpkin,Stir-fried rice with broccoli and vegetables,Soy paste soup,Pan-fried beef,Macaroni salad,Radish kimchi cubes,S blueberry (50g),S yoghurt (100ml),Steamed red bean rice,Tofu shabu-shabu,Braised chicken(breast) in teriyaki sauce,Sea spurrey,Napa cabbage kimchi
35,Steamed corn rice,Beef and bean sprout soup,Steamed eggs with shrimp,Seasoned salad with sweet potato stem in soy paste,Young radish kimchi,S almond,S homestyle blueberry milk,Japanese style beef over rice (kyudon),Oyster mushroom soup(clear),Sweet potato mash with nuts,Daikon and pear salad,Radish kimchi cubes,S snow white rice cake,S orange juice (sugar-free),Steamed sweet rice,Tofu soy paste soup(clear),Braised pork shanks,Seasoned salad with bean sprout,Ponytail radish kimchi
36,Rice (extra),Oyster mushroom soup,Roasted chicken drumstick,Braised burdock slices and konjac,Pickled beet,S nuts,S homestyle blueberry milk,Beef vegetable fried rice,Konjac fried fish paste soup,Lettuce salad (thousand island dressing),Vegetable croquette,Young radish water kimchi,S steamed sweet potato,S milk (100ml),Steamed red bean rice,Mild beef stew,Stir-fried jukkumi and vegetables in soy sauce,Steamed aubergine with marinade sauce,Water kimchi
37,Steamed rice with black beans,Little neck clam soy paste soup,Braised eggs in soy sauce,Seasoned salad with paprika in yuzu marinade,Sweet napa cabbage watery kimchi,S jujube milk soup,S blueberry (50g),Steamed sorghum rice,Kimchi soup,Stir-fried chicken in soy sauce without bones,Stir-fried glass noodles,Young radish kimchi,S dried persimmon,S milk with misugaru (mixed grain powder),Japanese style beef over rice (kyudon),Kimchi bean sprout soup,Deep-fried crispy lotus root,Seasoned oyster mushroom,Kohlrabi watery kimchi
38,Steamed mixed-grain rice,Curled mallow soup(clear),Stir-fried chicken and cabbage,Seasoned salad with winter celery in vinegar marinade,Young radish water kimchi,S banana (50g),S milk (200ml),Stir-fried rice with aubergine and vegetables,Potato soup,Pan-fried seafood and kimchi,Braised sweet potato and quail eggs,Radish kimchi cubes,S raisin potato bowl,S orange juice,Steamed chestnut red bean sweet rice (40),Pork back-bone stew,Pan-fried beef,Stir-fried summer radish,Water kimchi
39,Steamed sorghum rice,Mini-ball rice cake seaweed soup,Braised sweet potato and quail egg,Stir-fried dried shrimp and zucchini,Napa cabbage kimchi,S nuts,S homestyle strawberry milk,Stir-fried rice with broccoli and vegetables,Carrot soup,Mini pork cutlet,empty,Sweet napa cabbage watery kimchi,S korean melon salad,S barley tea,Steamed sweet rice (add),Red bean porridge,empty,Pan-fried beef and maesaengyi,Radish watery kimchi
40,Steamed red bean rice,Mini-ball rice cake seaweed soup,Three-color rolled vegetable omelet,Lotus root and black sesame salad,Young radish kimchi,S almond,S homestyle blueberry milk,Steamed chestnut bean rice,Shredded radish onion soup,Steamed pork rib,Seasoned spinach,Radish kimchi cubes,S raisin potato bowl,S orange juice,Curried rice with chicken and potato + marinade sauce,Fried tofu miso soup,Pan-fried young pumpkin,empty,Pickled beet
41,Steamed sorghum rice (30),Cod(fielet)  soup,Braised meat ball in tomato sauce,Lettuce salad (kiwi dressing),Cucumber kimchi,empty,S red bean porridge,Steamed sweet rice and red bean,Beef bone-broth green onion soup,Pan-fried seafood and chive,Seasoned winter mushroom and chive,Sweet radish kimchi,S grilled sweet potato,S milk (200ml),Stir-fried rice with broccoli and vegetables,Oyster mushroom soup,Dumpling in fruit sauce,Stir-fried zucchini and dried shrimp,Ponytail radish kimchi
42,Rice (extra),Red bean porridge,Steamed eggs with broccoli,Stir-fried potato(shredded),Water kimchi,empty,S milk (100ml),Steamed black rice,Zucchini tofu salted shrimp soup,Beef japchae,Fresh kimchi with spring cabbage and chive,Perilla leaf kimchi,S cheese stick,S rice-based beverage,Steamed pearl barley rice,Assorted mushroom stew,Pan-fried vegetables and cuttlefish dumpling,Seasoned salad with bean sprout,Radish kimchi cubes
43,Steamed red bean rice (40),Crab soup(clear),Braised black beans,Seasoned salad with paprika in yuzu marinade,Winter cabbage kimchi,Dried persimmon,S milk (200ml),Curried rice,Spring onion soy paste soup,Mini pork cutlet,Seasoned perilla leaf,Radish kimchi cubes,S banana (50g),S rice punch,Steamed sweet rice,Mandu (dumpling) soup,Stir-fried jukkumi and vegetables in soy sauce,Seasoned winter mushroom,Pickled beet
44,Steamed chestnut red bean sweet rice,Sliced potato soup,Egg rolls with cheese,Parboiled broccoli + red chilli paste with vinegar,Water kimchi,empty,S homestyle blueberry milk,Steamed sweet potato rice,Clam and unpressed tofu soup,Boiled and cooled pork slices,Cabbage wraps,Napa cabbage kimchi,Dried persimmon,S sweet pumpkin rice punch,Deluxe rice with pyogo mushroom and chwinamul,Spring onion bean sprout soup,Grilled spanish mackerel,empty,Water kimchi
45,Steamed sweet rice,Tofu miso soup,Scrambled eggs,Seasoned broccoli,Radish kimchi cubes,S cucumber carrot stick,S homestyle blueberry milk,Steamed red bean rice,Potato soup,Braised pork shanks,Seasoned salad with green bean sprout and salted seaweed,Young radish kimchi,S dried persimmon,S black sesame soy milk (150ml),Steamed rice,Little neck clam soup,Pan-fried pollack with perilla leaves,Chicken breast (mustard sauce),Sweet radish kimchi
46,Steamed rice,Potato soup,Steamed halibut,Seasoned perilla leaf,Water kimchi,S almond,S homestyle blueberry milk,Curried rice,empty,Chicken nuggets + sauce,Cabbage salad (strawberry dressing),Seasoned salad with pickled daikon,S sweet red bean porridge,empty,Steamed mung bean rice,Soup,Stir-fried jukkumi and,Seasoned salad with sweet potato stem in soy paste,Water kimchi
47,Steamed red bean rice,Oyster mushroom soup,Stir-fried jukkumi and vegetables in soy sauce,Seasoned young pumpkin,Sweet radish kimchi,S sesame milk soup,S apple (35g),Stir-fried rice with broccoli and vegetables,Egg spring onion soup,Braised meat ball and paprika,Seasoned salad with bellflower root,Pickled beet,S raisin potato bowl,S homestyle blueberry milk,Steamed sweet rice,Mandu (dumpling) soup,Braised chicken(breast) in teriyaki sauce,Green salad,Radish kimchi cubes
48,Steamed sweet rice and brown rice,Beef stew(clear),Grilled tofu,Seasoned salad with cucumber,Sweet napa cabbage watery kimchi,S grilled sweet potato,S orange juice (sugar-free),Japanese style beef over rice (kyudon),Soy paste soup,Deep-fried soft crab,Green salad,Pickled beet,S almond,S homestyle blueberry milk,Steamed rice with black beans,Young pumpkin soup,Braised chicken in soy sauce(breast),Stir-fried spring parsley,Napa cabbage kimchi
49,Steamed corn rice,Oyster mushroom soup,Pan-fried mung bean,Seasoned salad with green bean sprout in vinegar marinade,Radish kimchi cubes,S nuts,S homestyle blueberry milk,Steamed sweet rice,Kimchi soup,Stir-fried jukkumi and vegetables in soy sauce,Pan-fried winter mushroom with eggs,Sweet napa cabbage watery kimchi,S raisin potato bowl,S orange juice (sugar-free),Pork and cabbage over rice,Mini udon with fried tofu,Tomato cheese mash,empty,Pickled beet
50,Steamed mixed-grain rice (40),Napa cabbage soup(clear),Steamed eggs with spinach,Seasoned thistle,Water kimchi,S sweet persimmon (50g),S milk (150ml),Stir-fried rice with aubergine and vegetables,Veggie soup,Potato wedge,Fusilli salad (tomato sauce),Pickled beet,S bread with chestnut,S sweet pumpkin rice punch,Steamed sweet rice and red bean,Bean sprout beef stew,Stir-fried webfoot octopus and vegetables,Seasoned salad with chwinamul(dried),Napa cabbage kimchi
51,Steamed pearl barley rice,Mandu (dumpling) soup,Stir-fried beef and cabbage,Soft tofu salad (oriental dressing),Radish kimchi cubes,empty,S milk with misugaru (mixed grain powder),Steamed pearl barley rice,Shiitake mushroom stew,Roasted smoked duck with vagetable,Seasoned three-color herbs,Young radish water kimchi,S cheese,S tomato (100g),Beef and aubergine over rice,Zucchini tofu salted shrimp soup,Steamed mandu (dumpling),Seasoned winter mushroom,Pickled beet
52,Steamed corn rice,Konjac fried fish paste soup,Grilled tofu in teriyaki sauce(soy sauce),Dried radish,Water kimchi,S dried persimmon,S misugaru (mixed grain powder),Pork and cabbage over rice,Fried tofu spring onion soup,Pan-fried shrimp and sea lettuce,Seasoned salad with green bean sprout and soft crab,Kohlrabi watery kimchi,S tangerine (50g),S milk (150ml),Steamed sweet rice,(low-salt) chicken bone soup,Stir-fried chicken in black soy,Seasoned young pumpkin,Ponytail radish kimchi
53,Steamed rice (30),Red bean porridge,Stir-fried beef and cucumber,Daikon and pear salad,Water kimchi,S melon (50g),S milk (100ml),Stir-fried rice with seafood,Veggie soup,Sweet potato mash with nuts,empty,Pickled cucumber,S cheese,S orange juice,Steamed chestnut bean rice,Potato dough soup,Ketchup-braised pork belly,Seasoned chive,Cucumber kimchi
54,Steamed chestnut red bean sweet rice,Zucchini salted shrimp stew,Stir-fried tofu and vegetables in oyster sauce,Seasoned salad with paprika in yuzu marinade,White kimchi,S apple (50g),S milk (200ml),Choongmoo gimbap (rice roll) + side dishes,Bean sprout soup,Stir-fried potato(shredded),(chilli powder-free) seasoned salad with chive and apple,Sweet napa cabbage watery kimchi,S steamed sweet pumpkin,S homestyle banana milk,Steamed sweet rice,Cold seaweed soup,Braised beef and tomato,Seasoned young pumpkin,Water kimchi
55,Stir-fried rice with eggs and mushroom,Soy paste soup,Roasted potato with butter,Coleslaw,Napa cabbage kimchi,S hard boiled egg (30g),S sweet pumpkin rice punch,Steamed sorghum rice,Young pumpkin soup,Stir-fried chicken in soy sauce without bones,Seasoned curled mallow,Water kimchi,S melon (50g),S walnut milk,Steamed sweet rice,Pork back-bone stew,Braised korean kebab in soy sauce,Seasoned spring cabbage,Radish kimchi cubes
56,Steamed red bean rice,Clear little neck clam soup,Rolled omelette with aubergine,Seasoned winter mushroom,Ponytail radish kimchi,S apple (50g),S milk (200ml),Steamed chestnut bean rice,Tofu shabu-shabu,Roasted pork roll with vagetables,Bracken,Young radish water kimchi,S milk bread roll,S orange juice,Japanese style beef over rice (kyudon),Soy paste soup,Sweet potato stick,Lettuce strawberry salad,White kimchi
57,Steamed sweet rice,Unpressed tofu soup,Braised fried fish paste bowl,Stir-fried zucchini and dried shrimp,Water kimchi,S potato porridge,empty,Beef and aubergine over rice,Oyster mushroom soup,Pan-fried mung bean and kimchi,Seasoned salad with sweet potato stem in soy paste,Sweet napa cabbage watery kimchi,S milk bread roll,S milk (200ml),Steamed corn rice,Clear cabbage soup,Roasted chicken(breast) in teriyaki sauce,Seasoned salad with cucumber,White kimchi
58,Stir-fried rice with aubergine and vegetables,Beef and bean sprout soup,Quail eggs boiled down in soy sauce,Seasoned oyster mushroom,Radish kimchi cubes,S sesame milk soup,S rice-based beverage,Steamed chestnut bean rice,Zucchini tofu salted shrimp soup,Stir-fried webfoot octopus and vegetables,Seasoned salad with winter celery in vinegar marinade,Water kimchi,S raisin potato bowl,S milk (200ml),Steamed chestnut red bean sweet rice,Pork back-bone stew,Pan-fried mung bean,Seasoned chard,Ponytail radish kimchi
59,Steamed corn rice,Dried mussel soup,Stir-fried tofu and vegetables in oyster sauce,Seasoned salad with bean sprout,Young radish water kimchi,S orange (50g),S rice punch,Stir-fried rice with white kimchi,Oyster mushroom soup(clear),Chicken nuggets + sauce,empty,Seasoned salad with pickled daikon,S soft tofu salad (oriental dressing),S sweet potato shake,Steamed sweet rice,Mandu (dumpling) soup,Steamed seafood,Seasoned young pumpkin,Pickled beet
60,Steamed sweet rice (add),Red bean porridge,Pan-fried seafood and kimchi,Seasoned winter mushroom and chive,Water kimchi,empty,S milk (200ml),Steamed sorghum rice,Assorted mushroom stew,Stir-fried beef and bokchoy,Seasoned salad with paprika in yuzu marinade,Ponytail radish kimchi,S korean melon salad,S rice-based beverage,Japanese style beef over rice (kyudon),Tofu salted shrimp soup,Vegetable croquette,Chive and onion salad,Cucumber kimchi
