,morning_1,morning_2,morning_3,morning_4,morning_5,amsnack_1,amsnack_2,lunch_1,lunch_2,lunch_3,lunch_4,lunch_5,pmsnack_1,pmsnack_2,dinner_1,dinner_2,dinner_3,dinner_4,dinner_5
10,Steamed brown rice,Clam soy paste soup,Steamed eggs with three-color vegetables,Seasoned salad with cucumber,Water kimchi,S homestyle strawberry milk,S milk with misugaru (mixed grain powder),Stir-fried rice beef in oyster sauce,Dried bonito soy paste soup,Seasoned salad with broccoli in black sesame sauce,empty,Sweet radish kimchi,S banana apple kiwi salad,S sweet pumpkin rice punch,Steamed sweet rice and red bean,Young pumpkin soup,(low salt and sugar) steamed pork rib,Fresh kimchi winter cabbage,Pickled beet
11,Steamed corn rice (40),Perilla seed seaweed soup,Braised tofu in marinade sauce,Seasoned salad with broccoli and oyster mushroom,Napa cabbage kimchi,S orange (50g),empty,Spinach beef over rice,Fried tofu winter mushroom soup,Pan-fried corn with cheese,empty,Radish kimchi cubes,S muffin,S milk (100ml),Steamed sweet rice and red bean,Pollack stew(clear),Braised meat ball in tomato sauce,Seasoned spring cabbage,Napa cabbage kimchi
12,Steamed mixed-grain rice,Tofu soy paste soup(clear),Grilled corvina,Seasoned water dropwort and green bean sprout,Napa cabbage kimchi,S sesame milk soup,empty,Stir-fried rice with shrimp and chive,Perilla seed mushroom soup,Ketchup-braised chicken drumsticks,empty,Radish kimchi cubes,S sweet pumpkin steamed rice cake,S milk (100ml),Steamed sweet rice,Mandu (dumpling) chicken stew,Stir-fried smoked duck and green bean sprout,Seasoned salad with paprika and apple in vinegar marinade,Water kimchi
13,Steamed rice,Tofu shabu-shabu,Stir-fried jukkumi and vegetables in soy sauce,Seasoned green bean sprout and winter celery,White kimchi,empty,S sweet potato shake,Pork and cabbage over rice,Fried tofu spring onion  soup,Deep-fried vegetables(sweet potato) with corn,Chicken breast (mustard sauce),Pickled beet,S kiwi (50g),S sweet pumpkin rice punch,Steamed sweet rice,Assorted mushroom stew,(chilli powder-free) braised cutlassfish,Seasoned curled mallow,Radish kimchi cubes
14,Steamed rice (30),Red bean porridge,Stir-fried sweet pepper and fried fish paste,Seasoned oyster mushroom,Napa cabbage kimchi,S homestyle blueberry milk,empty,Deluxe rice with pyogo mushroom and chwinamul,Egg spring onion soup,Dumpling in fruit sauce,empty,Radish kimchi cubes,S pan-fried lotus root,S orange juice,Steamed sorghum rice,Dried pollack and seaweed soup,Stir-fried beef and yangsongyi mushroom,Seasoned water dropwort and green bean sprout,Napa cabbage kimchi
15,Steamed sweet rice,Winter mushroom soup,Grilled spanish mackerel in sauce,Seasoned curled mallow,Napa cabbage kimchi,S banana (50g),empty,Shrimp cream spaghetti,empty,Chicken nuggets + tomato ketchup,Lettuce salad,Pickled cucumber,empty,S milk with misugaru (mixed grain powder),Steamed red bean rice,Squid onion soup,Braised pork shank and rice cake,Pan-fried vegetables with lotus root,Napa cabbage kimchi
16,Steamed sweet rice,Acorn jelly soup(hot),Steamed eggs with corn(canned),Stir-fried soft crab and vegetables,Water kimchi,empty,S milk (150ml),Steamed mung bean rice,Mushroom stew,Stir-fried chicken in soy sauce without bones,Seasoned curled mallow,Water kimchi,S sweet pumpkin salad (mayonnaise),S tomato juice,Beef and aubergine over rice,Crown daisy fried fish cake soup,Pan-fried lotus root,empty,Ponytail radish kimchi
17,Steamed red bean rice,Shrimp seaweed soup,Grilled salmon + tartar sauce,Seasoned salad with garlic stem,Young radish water kimchi,S kiwi (50g),empty,Stir-fried pork and vegetables with rice,Young pumpkin soup(clear),Deep-fried glass noodles in seaweed,Tomato cheese salad,Pickled beet,S rice cake with bean paste (40g),S milk (100ml),Steamed chestnut bean rice,Soy stew,Beef bulgogi with aubergine,Seasoned salad with bellflower root,White kimchi
18,Steamed chestnut bean rice,Tofu miso soup,Pan-fried tuna and paprika,Seasoned salad with sweet potato stem in soy paste,Water kimchi,S homestyle strawberry milk,S milk (100ml),Steamed sweet rice and red bean,Potato soup,Beef japchae,Seasoned bellflower root,Water kimchi,S cheese stick,S orange juice,Steamed pearl barley rice,Assorted mushroom stew,Pan-fried vegetables and cuttlefish dumpling,Seasoned salad with bean sprout,Radish kimchi cubes
19,Steamed chestnut red bean sweet rice,Wild chive soup,Steamed eggs with shrimp,Stir-fried zucchini with bean powder,Pickled beet,S sweet potato mattang (sugar-glazed deep-fried sweet potato wedge),S milk (200ml),Steamed sweet rice,Dried shrimp spinach soup,Braised chicken drumsticks and beef in soy sauce,Pan-fried brown kelp and potato,Young radish kimchi,empty,S milk with misugaru (mixed grain powder),Steamed corn rice,Unpressedtofu stew,Stir-fried smoked duck and sweet pumpkin,Seasoned salad with paprika in yuzu marinade,Radish kimchi cubes
20,Steamed corn rice,Tofu zucchini soup,Braised chicken drumsticks,Seasoned green bean sprout and winter celery,Radish kimchi cubes,S banana apple kiwi salad,empty,Stir-fried rice with white kimchi,Assorted mushroom stew,Grilled short rib patties(beef),Tomato mash,Cucumber kimchi,S cheese,S sweet potato shake,Steamed sweet rice,Shrimp daikon soup,Stir-fried pork belly and kimchi,Seasoned salad with spring parsley,Water kimchi
21,Steamed pearl barley rice,Bean sprout fried fish cake soup,Barbequed beef and mini-ball rice cake,Coleslaw,Young radish kimchi,S hard boiled egg (50g),S milk (200ml),Steamed sweet rice,Tofu shabu-shabu,Braised spanish mackerel and daikon in soy sauce,Seasoned chive,Ponytail radish kimchi,S banana apple kiwi salad,empty,Rice with beans,Assorted mushroom stew,Stir-fried beef brisket and green bean sprout,Seasoned salad with green bean sprout in vinegar marinade,White kimchi
22,Curried rice with tofu,Spring onion soy paste soup,empty,Coleslaw,Napa cabbage kimchi,S apple (50g),empty,Rice with beans,Tuna kimchi stew,Braised potato and sausage,Stir-fried zucchini,Radish kimchi cubes,S apple (50g),S sweet pumpkin rice punch,Steamed mung bean rice,Mandu (dumpling) soup,Stir-fried jukkumi and,Seasoned salad with hijiki,Water kimchi
23,Steamed sweet potato rice,Shrimp spinach soup,Braised pork and sweet pumpkin in soy sauce,Stir-fried paprika and onion,Radish watery kimchi,S milk bread roll,S orange juice (sugar-free),Steamed chestnut red bean sweet rice,Short rib beef soup(plate),Grilled pork and sweet rice (soy sauce),Seasoned salad with spring parsley in soy sauce,Sweet napa cabbage watery kimchi,S milk with misugaru (mixed grain powder),S milk with misugaru (mixed grain powder),Shrimp cream spaghetti,empty,Deep-fried potato,Cabbage salad (lemon dressing),Pickled cucumber
24,Steamed sweet rice (add),Shiitake mushroom stew,Omelette with spinach,Braised konjac and fried fish paste,Radish watery kimchi,S steamed sweet potato,S milk (100ml),Japanese style beef over rice (kyudon),Shrimp daikon soup,Deep-fried white fish,Seasoned salad with paprika in yuzu marinade,Water kimchi,S cheese stick,S grape juice,Curried rice with chicken and potato + marinade sauce,Zucchini  soup,Parboiled cuttlefish,empty,Radish kimchi cubes
25,Steamed sweet rice,Crushed tofu soy paste soup,Steamed eggs with salted pollack roe,Stir-fried zucchini with bean powder,Napa cabbage kimchi,empty,empty,Bibimbap with butter and braised beef in soy sauce,Mini udon with fried tofu,Deep-fried vegetables(potato) with corn,Corn salad,Radish kimchi cubes,S banana apple kiwi salad,S milk (100ml),Steamed sorghum rice,Beef soup with boiled napa cabbage,Grilled spanish mackerel in yuzu marinade,Seasoned green bean sprout and winter celery,Napa cabbage kimchi
26,Steamed sweet rice,Seaweed fulvescens tofu soup,Braised frozen alaska pollock and daikon,Lotus root and black sesame salad,White kimchi,empty,S homestyle banana milk,Mixed noodles with cucumber,Winter mushroom miso soup,Stir-fried chicken in soy sauce without bones,Fruit salad (yoghurt dressing),Napa cabbage kimchi,S kiwi (50g),S sweet pumpkin rice punch,Steamed sweet rice,Mushroom soup with glass noodles,Braised pork roll with rice cake and paprika,Bean sprout and mung bean jelly salad,Water kimchi
27,Steamed sorghum rice,Napa cabbage soup with glass noodles,Braised meat ball in tomato sauce,Seasoned salad with sweet potato stem in soy paste,White kimchi,S korean melon (100g),empty,Beef and aubergine over rice,Mini udon with fried tofu,Roasted potato with butter,Lettuce salad (kiwi dressing),Water kimchi,S milk with misugaru (mixed grain powder),S milk (100ml),Steamed sweet rice and red bean,Frozen and dried pollack seaweed soup,Barbequed pork belly and cuttlefish,Seasoned winter mushroom,Radish kimchi cubes
28,Steamed sweet potato rice (40),Mandu (dumpling) soup,Pork stir-fried with soy sauce,Seasoned roasted seaweed,Water kimchi,S homestyle strawberry milk,S yakult,Steamed millet rice,Shrimp spinach soup,Cabbage salad (lemon dressing),empty,Water kimchi,S noodles with kimchi,empty,Steamed sweet rice,Short rib beef soup(plate),Deep fried vegetables (sweet potato),Braised soft crab in soy sauce,Radish kimchi cubes
29,Steamed chestnut bean rice,Tofu seaweed soup,Ketchup-braised chicken drumsticks,Seasoned salad with paprika in yuzu marinade,Napa cabbage kimchi,S carrot soup,empty,Japanese style beef over rice (kyudon),Mini udon (white wheat noodles) with fish cake,Pan-fried potato with cheese,Cabbage salad,Radish kimchi cubes,empty,S homestyle blueberry milk,Steamed sweet rice,Mushroom vegetable stew,Grilled pork and sweet rice (soy sauce),Seasoned salad with bean sprout,Napa cabbage kimchi
30,Steamed sweet rice (add),Unpressed soup(clear),Braised beef(siroin)and potato,Pigweed,Napa cabbage kimchi,S melon puree,S cheese,Cabbage sausage rice bowl,Oyster mushroom soup,Tofu salad in yuzu marinade,empty,Radish kimchi cubes,S sujebi,empty,Steamed sorghum rice (30),Bean sprout beef stew,Stir-fried shrimp and paprika,Seasoned young pumpkin,Napa cabbage kimchi
31,Steamed mung bean rice,Soy puree soup,Scrambled eggs with crab sticks,Seasoned daikon and pyogo mushroom,White kimchi,S orange (50g),empty,Stir-fried rice with tuna in black soy,Spring onion miso paste soup,Pineapple dumpling + sauce,empty,Radish kimchi cubes,S steamed bread with vegetables,S orange juice,Steamed mung bean rice,Little neck clam soy paste soup,Stir-fried chicken in soy sauce without bones,Seasoned curled mallow,Napa cabbage kimchi
32,Steamed sweet rice,Potato soy paste soup(clear),Braised konjac and quail eggs,Seasoned salad with brown kelp slices,Napa cabbage kimchi,S raisin potato bowl,S tomato juice,Pork kimchi bibimbap,Bean sprout soup,Pan-fried mung bean,empty,Radish kimchi cubes,S roasted potato wedge,S misugaru (mixed grain powder),Steamed chestnut bean rice (40),Maesaengyi mussel soup,Grilled smoked duck,Daikon and pear salad,Napa cabbage kimchi
33,Steamed sweet rice (add),Chicken green bean sprout soup,Pan-fried dried shrimp and curled mallow,Seasoned salad with hijiki,Young radish water kimchi,S apple (50g),empty,Curried rice with chicken and potato + marinade sauce,Young pumpkin soup,Pan-fried corn with cheese,empty,Pickled beet,S sweet pumpkin rice punch,S milk (200ml),Steamed red bean rice (30),Mandu (dumpling) soup,Braised spanish mackerel in soy sauce,Seasoned salad with sweet potato stem in soy paste,Young radish kimchi
34,Steamed corn rice (30),Fried fish ball paste soup,Stir-fried zucchini,Pan-fried brown kelp and potato,Young radish kimchi,S raisin potato bowl,empty,Cream risotto,Miso paste broth,Chicken cutlet,Lettuce salad (oriental dressing),Pickled beet,S mugwort rice cake,S milk (100ml),Steamed sweet rice,Tofu bean sprout soup,Rolled omelette with salted seaweed,Seasoned saesongyi mushroom,S milk with misugaru (mixed grain powder)
35,Steamed rice,Unpressed soup (mild flavor),Pork stir-fried with garlic and soy sauce,Seasoned salad with bokchoy in vinegar marinade,Young radish water kimchi,S (low-sugar) cereal,S milk (100ml),Bibimbap with summer radish,Green onion soy paste stew,Neobiani,(chilli powder-free) seasoned salad with overripe cucumber,Water kimchi,S apple (50g),empty,Steamed sweet rice,Tofu bean sprout soup,Braised spanish mackerel in soy sauce,Seasoned salad with sweet potato stem in soy paste,White kimchi
36,Steamed red bean rice (30),Young pumpkin soup(clear),Braised meat ball in tomato sauce,Seasoned winter mushroom,Radish kimchi cubes,S homestyle strawberry milk,empty,Japanese style beef over rice (kyudon),Potato soup,Deep fried vegetables (sweet potato),empty,Radish kimchi cubes,S raisin potato bowl,S milk with misugaru (mixed grain powder),Steamed corn rice,Marsh snaill soy paste soup,Soy-based mapa tofu,Seasoned salad with shepherd's purse,Water kimchi
37,Beef rice ball with seaweed flakes,Fried fish paste soup(clear),Stir-fried soft crab and vegetables,Seasoned winter cabbage,Cucumber kimchi,S cheese,S yoghurt (100ml),Steamed sweet rice and red bean,Seaweed miso soup,Seasoned mandu (dumpling),empty,Radish kimchi cubes,S sandwich,S milk (100ml),Steamed sweet rice,Sujebi with potato soup,Stir-fried chicken in soy sauce without bones,Seasoned salad with broccoli in vinegar marinade,Ponytail radish kimchi
38,Beef rice ball with seaweed flakes,Dried bonito soy paste soup,Scrambled eggs with spinach,Macaroni cucumber salad,Ponytail radish kimchi,S korean melon (100g),empty,Stir-fried rice with aubergine and vegetables,Tofu potato soup,Stir-fried jukkumi and,Pineapple corn salad,Water kimchi,S orange (50g),S milk with misugaru (mixed grain powder),Steamed pearl barley rice,Unpressedtofu stew,Steamed fish and zucchini,Pan-fried mung bean and kimchi,Napa cabbage kimchi
39,Steamed corn rice (30),Assorted fried fish paste soup,Stir-fried chive and eggs,Braised burdock slices and konjac,Radish kimchi cubes,S apple (50g),S homestyle banana milk,Beef and aubergine over rice,Seaweed soy paste soup,Grilled fish cake + ketchup,empty,Radish kimchi cubes,S raisin potato bowl,S milk (100ml),Steamed sweet rice,Kimchi soup(clear),Pan-fried white fish,Seasoned salad with chwinamul(dried),Radish kimchi cubes
40,Steamed sweet rice (add),Young pumpkin soup(clear),Pork stir-fried with black bean paste,Seasoned salad with sweet potato stem in soy paste,Young radish water kimchi,S homestyle strawberry milk,empty,Beef and aubergine over rice,Cold seaweed soup,Deep-fried cuttlefish rings,Seasoned salad with sweet potato stem in soy paste,Pickled beet,S sweet pumpkin salad,S milk (100ml),Steamed sweet rice,Mandu (dumpling) soup,Stir-fried octopus and vegetables in spicy sauce,Seasoned salad with tofu and seaweed fusiforme,Radish kimchi cubes
41,Steamed mixed-grain rice,Little neck clam and chive soup,Steamed eggs (30g),Cabbage salad (lemon dressing),Radish kimchi cubes,S green grape (100g),empty,Stir-fried rice with shrimp and sea lettuce,Meat dumpling soup,Pan-fried vegetables with sweet pumpkin,Paprika stick,Napa cabbage kimchi,S green grape (100g),S milk with misugaru (mixed grain powder),Steamed brown sweet rice,Tofu kimchi soup,Stir-fried jukkumi and vegetables in soy sauce,Seasoned salad with bean sprout and salted seaweed,Napa cabbage kimchi
42,Steamed corn rice (30),Broccoli soup,Fried eggs,Seasoned salad with paprika and apple in vinegar marinade,Radish kimchi cubes,S milk with misugaru (mixed grain powder),S milk with misugaru (mixed grain powder),Steamed sweet rice,Spicy seafood noodle soup,Pineapple dumpling + sauce,Lettuce fruit salad,Radish kimchi cubes,S banana apple kiwi salad,S milk (200ml),Steamed chestnut red bean sweet rice,Tofu shabu-shabu,Pan-fried shrimp and sea lettuce,Seasoned oyster mushroom,Radish kimchi cubes
43,Steamed rice,Perilla seed pyogo mushroom soup,Grilled tofu in teriyaki sauce(soy sauce),Seasoned salad with bean sprout,Napa cabbage kimchi,S grape (100g),empty,Beef and aubergine over rice,Winter mushroom soup,Pan-fried mung bean and kimchi,empty,Radish kimchi cubes,S grape (100g),S homestyle strawberry milk,Steamed sweet rice,Mandu (dumpling) chicken stew,Stir-fried jukkumi and vegetables in soy sauce,Seasoned curled mallow,White kimchi
44,Steamed chestnut bean rice,Unpressed soup(clear),Pan-fried winter mushroom with eggs,Seasoned salad with cucumber and carrot,Water kimchi,S sweet pumpkin porridge,empty,Stir-fried rice with shrimp and sea lettuce,Soy paste soup,Braised meat ball and vegetables,empty,Pickled beet,S steamed potato,S homestyle banana milk,Steamed pearl barley rice,Unpressedtofu stew,Vegetable croquette,"Seaseond mungbean jelly, green bean sprouts, and roasted seaweed",Radish kimchi cubes
45,Steamed sorghum rice,Mini-ball rice cake seaweed soup,Stir-fried beef and sweet pepper,Stir-fried dried shrimp and zucchini,Ponytail radish kimchi,empty,S homestyle blueberry milk,Steamed corn rice,Mini udon with fried tofu,Deep-fried vegetables(potato) with corn,Seasoned winter mushroom,Pickled cucumber,S kiwi (50g),S orange juice,Steamed sweet rice (add),Winter mushroom soup,Pan-fried beef and maesaengyi,Braised sweet pumpkin and walnut,Kohlrabi watery kimchi
46,Steamed corn rice (30),Saesongyi mushroom soup,Beans cooked in soy sauce,Braised burdock slices and konjac,Young radish water kimchi,S milk with misugaru (mixed grain powder),empty,Pork and cabbage over rice,Fried tofu spring onion  soup,Pan-fried seafood(+shrimp) and chive,Daikon and pear salad,Water kimchi,S steamed rice cake with mugwort,S rice punch,Steamed sweet rice,Mandu (dumpling) chicken stew,Stir-fried jukkumi and vegetables in soy sauce,Seasoned spring cabbage,Young radish kimchi
47,Steamed black rice,Winter mushroom miso paste soup,Soy sauce-braised beef,Seasoned salad with cabbage,Radish kimchi cubes,S mandarin (80g),S walnut milk,Japanese style beef over rice (kyudon),"Small dumpling soup (no eggs, processed dumplings)",Pan-fried vegetables with lotus root,Cucumber chive salad,White kimchi,S green grape (100g),empty,Deluxe rice with kimchi,Shrimp soup,Stir-fried pork in spicy black soy,Lettuce and daikon salad,Water kimchi
48,Steamed sweet potato rice (40),Rice cake and dumpling soup,Braised anchovy and sweet napa cabbage,Seasoned curled mallow,Water kimchi,S milk (100ml),S milk (100ml),Pork curry fried rice,Brown kelp and soup,Macaroni corn salad,empty,Radish kimchi cubes,S orange (50g),S rice-based beverage,Steamed pearl barley rice,Beef bone-broth green onion soup,Seasoned salad with cuttlefish thin slices,Stir-fried mushroom and eggs,Radish kimchi cubes
49,Steamed mung bean rice (40),Potato dough soup,Braised anchovy and sweet napa cabbage,Seasoned salad with dried sea lettuce,Kohlrabi watery kimchi,S milk (100ml),empty,Steamed sweet rice,Sakhalin surf-clam and seaweed soup,Roasted pork and vegetables,Daikon and pear salad,Napa cabbage kimchi,S raisin potato bowl,empty,Steamed sweet rice,Sakhalin surf-clam and seaweed soup,Ketchup-braised pork,Seasoned mushroom and perilla seed,Water kimchi
50,Steamed sweet rice,Winter mushroom soup,Stir-fried tofu and vegetables in oyster sauce,Seasoned young pumpkin,Napa cabbage kimchi,empty,S homestyle strawberry milk,Pork and cabbage over rice,Fried tofu spring onion  soup,Seasoned mandu (dumpling),empty,Radish kimchi cubes,S raisin potato bowl,S croquette,Steamed sweet rice (add),Chicken stew,Seasoned salad with perilla seeds and shrimp,Seasoned salad with bean sprout,Napa cabbage kimchi
51,Steamed pearl barley rice,Beef bone soup(beef edible offal),Braised potato and fried fish paste,Seasoned salad with perilla leaves,Radish kimchi cubes,S milk (100ml),empty,Steamed sweet rice and red bean,Mussel(shell-less) seaweed soup,Grilled halibut in yuzu sauce,(low-salt) braised lotus root,Napa cabbage kimchi,S cheese,S tomato juice,Beef and aubergine over rice,Mini-udon (white wheat noodles),Pan-fried shrimp and vegetables,Stir-fried paprika and onion,Napa cabbage kimchi
52,Steamed sorghum rice (30),Butterbur perilla seed soup,Braised fried fish paste bowl,Cabbage salad (lemon dressing),Water kimchi,empty,empty,Japanese style beef over rice (kyudon),Assorted mushroom stew,Deep-fried soft crab,Vagetable salad (oriental dressing),Pickled beet,S fried mandu (dumpling),S milk (150ml),Curried rice with chicken and potato + marinade sauce,Mandu (dumpling) soup,Grilled cutlassfish,Seasoned salad with lettuce and apple in vinegar marinade,Radish kimchi cubes
53,Steamed rice,Red bean porridge,Braised shrimp bowl,Seasoned salad with lettuce and apple in vinegar marinade,Pickled beet,S sweet persimmon (50g),empty,Japanese style beef over rice (kyudon),Spinach soup(clear),Stir-fried jukkumi and vegetables in soy sauce,Lettuce salad (balsamic vinegar dressing),Pickled cucumber,S banana apple kiwi salad,empty,Steamed sorghum rice,Mini-ball rice cake seaweed soup,Stir-fried beef and sweet pepper,Seasoned salad with perilla leaves in vinegar marinade,Water kimchi
54,Steamed sorghum rice (30),Unpressed soup (mild flavor),Stir-fried potato and carrot,Seasoned salad with nuts and spinach,Napa cabbage kimchi,S milk (100ml),empty,Steamed chestnut bean rice,Clam abalone seaweed soup,Steamed sweet pumpkin and roasted smoked duck,Lettuce salad (kiwi dressing),Napa cabbage kimchi,S strawberry (100g),S sweet pumpkin rice punch,Rice (extra),Saesongyi mushroom soup,Braised spanish mackerel in soy sauce with wraps,Steamed eggs (30g),Radish kimchi cubes
55,Steamed corn rice (30),Maesaengyi soup,Steamed eggs with shrimp,Stir-fried zucchini with bean powder,Ponytail radish kimchi,empty,S milk (100ml),Pork and cabbage over rice,Zucchini soup(clear),Grilled soft crab,empty,Radish kimchi cubes,S grape tomato(35g),empty,Steamed sweet rice,Mushroom beef soup,Stir-fried sausage and broccoli,Seasoned salad with bean sprout,Radish kimchi cubes
56,Steamed corn rice (30),Zucchini salted shrimp stew,Braised chicken and walnut,Seasoned salad with wild chive and salted seaweed,Napa cabbage kimchi,S carrot soup,empty,Steamed sweet rice,Spring onion egg  soup,Deep-fried shrimp,empty,Radish kimchi cubes,S fruit salad (yoghurt dressing),empty,Japanese style beef over rice (kyudon),Octopus soup,Braised tofu in ketchup,Lotus root and black sesame salad,White kimchi
57,Steamed rice with black beans,Fish cake and radish soup,Steamed eggs with shrimp,Salted sea lettuce,Napa cabbage kimchi,empty,S homestyle banana milk,Steamed corn rice,Young pumpkin soup,Soy sauce-braised beef shank,Pan-fried vegetables with lotus root,Young radish water kimchi,S baram rice cake (with bean paste) (40g),S sweet pumpkin rice punch,Curried rice,Dried bonito soy paste soup,Braised mini-potato,Cabbage salad,Radish kimchi cubes
58,Steamed sweet rice,Young pumpkin soup,Braised tofu in marinade sauce,Stir-fried potato(shredded),Kohlrabi watery kimchi,empty,S milk with misugaru (mixed grain powder),Deluxe rice with kimchi,Egg spring onion soup,Pan-fried mung bean,Stir-fried spring parsley,Radish kimchi cubes,S fruit salad (mayonnaise),S yakult,Steamed sweet rice,Clam soy paste stew,Stir-fried chicken in soy sauce without bones,Seasoned salad with broccoli in vinegar marinade,Napa cabbage kimchi
59,Steamed red bean rice (40),Ground dried pollack soup,Braised tofu in soy sauce,Seasoned oyster mushroom,Water kimchi,S strawberry (100g),empty,Stir-fried rice with chicken breast and paprika,Spring onion salted seaweed soup,Potato croquette,empty,Radish kimchi cubes,S milk (100ml),S orange juice (sugar-free),Steamed sweet rice,Tofu shabu-shabu,Grilled salmon + tartar sauce,Lettuce salad (oriental dressing),Pickled beet
60,Steamed corn rice (30),Soft tofu shrimp soup,Stir-fried burdock and beef,Seasoned salad with aubergine,Pickled beet,empty,empty,Stir-fried rice with smoked duck,Oyster mushroom soup,Deep-fried cuttlefish,Seasoned salad with broccoli in black sesame sauce,Young radish water kimchi,S sweet potato mattang (sugar-glazed deep-fried sweet potato wedge),S sweet pumpkin rice punch,Steamed sweet rice,Sakhalin surf-clam and seaweed soup,Stir-fried jukkumi and vegetables in soy sauce,Seasoned salad with sweet potato stem in soy paste,Ponytail radish kimchi
